1.91	0	0
1.92	0	0
1.93	0	0
1.94	0	0
1.95	0	0
1.96	3	3.0022
1.97	1	1.0008
1.98	2	2.00155
1.99	0	0
2	0	0
2.01	2	2.00147
2.02	3	3.00216
2.03	0	0
2.04	1	1.00071
2.05	2	2.00154
2.06	0	0
2.07	2	2.00149
2.08	0	0
2.09	0	0
2.1	3	3.00213
2.11	0	0
2.12	1	1.00071
2.13	5	5.00371
2.14	2	2.00135
2.15	1	1.00075
2.16	4	4.00304
2.17	4	4.00299
2.18	4	4.00289
2.19	5	5.00343
2.2	7	7.00517
2.21	7	7.00483
2.22	2	2.00141
2.23	1	1.00081
2.24	4	4.0028
2.25	2	2.00143
2.26	4	4.00276
2.27	5	5.00353
2.28	2	2.00135
2.29	4	4.00275
2.3	10	10.0073
2.31	1	1.00076
2.32	10	10.0075
2.33	7	7.00503
2.34	3	3.00233
2.35	6	6.00433
2.36	8	8.00558
2.37	6	6.00418
2.38	6	6.00428
2.39	8	8.00572
2.4	4	4.00282
2.41	12	12.0087
2.42	14	14.0104
2.43	13	13.0093
2.44	9	9.00636
2.45	13	13.0101
2.46	6	6.00439
2.47	7	7.00512
2.48	7	7.00499
2.49	6	6.00442
2.5	14	14.0102
2.51	9	9.00675
2.52	6	6.00439
2.53	10	10.0071
2.54	10	10.0072
2.55	8	8.00571
2.56	3	3.00218
2.57	5	5.00362
2.58	5	5.00367
2.59	13	13.0091
2.6	14	14.0103
2.61	9	9.00655
2.62	9	9.00643
2.63	8	8.00622
2.64	13	13.0097
2.65	15	15.0109
2.66	13	13.0093
2.67	10	10.0074
2.68	8	8.0058
2.69	14	14.0101
2.7	21	21.0151
2.71	10	10.0071
2.72	18	18.0132
2.73	13	13.0098
2.74	14	14.0099
2.75	14	14.0104
2.76	8	8.00568
2.77	16	16.0112
2.78	16	16.0117
2.79	12	12.0088
2.8	9	9.00666
2.81	11	11.0079
2.82	20	20.0146
2.83	15	15.0109
2.84	23	23.0164
2.85	12	12.0083
2.86	19	19.0136
2.87	16	16.0114
2.88	17	17.0122
2.89	17	17.0119
2.9	19	19.0136
2.91	12	12.0087
2.92	11	11.0083
2.93	15	15.011
2.94	18	18.0131
2.95	11	11.008
2.96	15	15.0106
2.97	17	17.0122
2.98	22	22.0156
2.99	9	9.00622
3	12	12.0087
3.01	15	15.0106
3.02	13	13.0094
3.03	13	13.0094
3.04	17	17.012
3.05	8	8.00547
3.06	12	12.0084
3.07	14	14.0102
3.08	18	18.0129
3.09	16	16.0116
3.1	19	19.0139
3.11	16	16.0118
3.12	18	18.0135
3.13	18	18.0128
3.14	19	19.0132
3.15	17	17.0124
3.16	16	16.0112
3.17	19	19.0138
3.18	15	15.0104
3.19	15	15.0111
3.2	20	20.0145
3.21	21	21.0152
3.22	21	21.0154
3.23	25	25.0184
3.24	14	14.0102
3.25	17	17.0125
3.26	21	21.0149
3.27	16	16.0119
3.28	23	23.0167
3.29	18	18.0127
3.3	17	17.0131
3.31	22	22.0157
3.32	15	15.0102
3.33	22	22.0157
3.34	19	19.0136
3.35	16	16.0111
3.36	18	18.0128
3.37	17	17.012
3.38	15	15.0103
3.39	22	22.0163
3.4	23	23.0165
3.41	12	12.0089
3.42	17	17.0127
3.43	21	21.0147
3.44	27	27.019
3.45	24	24.0167
3.46	26	26.0189
3.47	20	20.0138
3.48	19	19.0135
3.49	18	18.013
3.5	15	15.0111
3.51	21	21.0148
3.52	18	18.0133
3.53	14	14.0096
3.54	16	16.0117
3.55	27	27.0195
3.56	19	19.0142
3.57	21	21.0155
3.58	16	16.0116
3.59	17	17.0126
3.6	13	13.0091
3.61	17	17.0119
3.62	25	25.018
3.63	27	27.0197
3.64	19	19.0137
3.65	22	22.0161
3.66	26	26.0182
3.67	21	21.0152
3.68	19	19.0141
3.69	25	25.0185
3.7	15	15.0107
3.71	19	19.014
3.72	18	18.0132
3.73	29	29.0212
3.74	27	27.0188
3.75	27	27.0194
3.76	26	26.0192
3.77	24	24.0174
3.78	19	19.0136
3.79	24	24.0173
3.8	26	26.0189
3.81	18	18.0131
3.82	30	30.0215
3.83	24	24.0167
3.84	28	28.0196
3.85	26	26.0185
3.86	27	27.019
3.87	23	23.0172
3.88	26	26.0186
3.89	23	23.0164
3.9	28	28.0197
3.91	24	24.0166
3.92	21	21.0148
3.93	27	27.019
3.94	28	28.0197
3.95	30	30.0213
3.96	26	26.0187
3.97	27	27.0195
3.98	25	25.0178
3.99	26	26.0185
4	21	21.0149
4.01	18	18.013
4.02	32	32.023
4.03	18	18.0132
4.04	15	15.0109
4.05	24	24.0171
4.06	17	17.012
4.07	18	18.0129
4.08	14	14.0103
4.09	24	24.0168
4.1	16	16.0114
4.11	18	18.0134
4.12	17	17.0124
4.13	19	19.0134
4.14	18	18.0128
4.15	23	23.0169
4.16	19	19.0135
4.17	23	23.0159
4.18	28	28.0204
4.19	23	23.0161
4.2	21	21.0147
4.21	22	22.016
4.22	17	17.0125
4.23	31	31.0217
4.24	25	25.0172
4.25	24	24.0167
4.26	19	19.0132
4.27	27	27.0193
4.28	20	20.014
4.29	21	21.0147
4.3	22	22.0152
4.31	24	24.017
4.32	28	28.0195
4.33	23	23.0162
4.34	19	19.0133
4.35	21	21.0144
4.36	21	21.0153
4.37	21	21.0146
4.38	28	28.0203
4.39	24	24.0163
4.4	23	23.016
4.41	27	27.0192
4.42	19	19.0135
4.43	18	18.0125
4.44	16	16.0111
4.45	21	21.0149
4.46	28	28.0195
