4.73	3	3.00123
4.74	2	2.00075
4.75	1	1.00056
4.76	2	2.0008
4.77	1	1.0004
4.78	0	0
4.79	2	2.00075
4.8	3	3.00129
4.81	3	3.0012
4.82	1	1.00037
4.83	3	3.00129
4.84	1	1.00038
4.85	1	1.00038
4.86	2	2.00075
4.87	2	2.00078
4.88	1	1.00041
4.89	0	0
4.9	0	0
4.91	2	2.00083
4.92	0	0
4.93	0	0
4.94	1	1.0004
4.95	2	2.00077
4.96	1	1.00037
4.97	6	6.00234
4.98	1	1.0004
4.99	3	3.00123
5	1	1.0004
5.01	2	2.00082
5.02	0	0
5.03	5	5.00199
5.04	1	1.00038
5.05	2	2.00083
5.06	0	0
5.07	1	1.00038
5.08	0	0
5.09	3	3.00113
5.1	3	3.00121
5.11	2	2.00075
5.12	2	2.00083
5.13	7	7.00292
5.14	4	4.00161
5.15	2	2.00087
5.16	3	3.00128
5.17	3	3.00121
5.18	0	0
5.19	2	2.00082
5.2	0	0
5.21	1	1.0004
5.22	3	3.00123
5.23	1	1.00039
5.24	3	3.00119
5.25	4	4.00169
5.26	2	2.0008
5.27	0	0
5.28	2	2.00083
5.29	0	0
5.3	1	1.00041
5.31	1	1.00045
5.32	0	0
5.33	0	0
5.34	0	0
5.35	1	1.0004
5.36	0	0
5.37	2	2.00078
5.38	2	2.00083
5.39	1	1.00056
5.4	3	3.00123
5.41	1	1.00042
5.42	2	2.00082
5.43	3	3.00128
5.44	6	6.00239
5.45	0	0
5.46	1	1.00037
5.47	1	1.00046
5.48	3	3.00123
5.49	0	0
5.5	2	2.00085
5.51	0	0
5.52	2	2.0008
5.53	2	2.00082
5.54	2	2.00096
5.55	3	3.00131
5.56	2	2.00073
5.57	0	0
5.58	1	1.00038
5.59	1	1.00043
5.6	4	4.00156
5.61	3	3.00117
5.62	4	4.00194
5.63	3	3.00121
5.64	2	2.00082
5.65	1	1.00046
5.66	3	3.00123
5.67	1	1.00042
5.68	2	2.00088
5.69	1	1.00041
5.7	3	3.00128
5.71	4	4.00171
5.72	1	1.00048
5.73	2	2.00081
5.74	1	1.00042
5.75	0	0
5.76	2	2.00076
5.77	3	3.00144
5.78	0	0
5.79	3	3.00146
5.8	1	1.00039
5.81	2	2.00086
5.82	2	2.00083
5.83	0	0
5.84	1	1.00039
5.85	4	4.00164
5.86	0	0
5.87	2	2.00092
5.88	3	3.00116
5.89	2	2.00083
5.9	3	3.0016
5.91	1	1.0004
5.92	3	3.00153
5.93	3	3.00175
5.94	3	3.0015
5.95	2	2.00089
5.96	4	4.00225
5.97	1	1.00046
5.98	3	3.00132
5.99	1	1.00045
6	2	2.00081
6.01	0	0
6.02	0	0
6.03	0	0
6.04	1	1.00043
6.05	0	0
6.06	4	4.00189
6.07	0	0
6.08	0	0
6.09	1	1.00045
6.1	3	3.00161
6.11	2	2.00095
6.12	1	1.00044
6.13	1	1.00037
6.14	3	3.00211
6.15	2	2.00111
6.16	2	2.00103
6.17	0	0
6.18	1	1.0004
6.19	3	3.00115
6.2	2	2.00104
6.21	1	1.00041
6.22	2	2.00076
6.23	3	3.00158
6.24	1	1.00083
6.25	4	4.00172
6.26	1	1.00044
6.27	4	4.00197
6.28	3	3.00162
6.29	0	0
6.3	1	1.00045
6.31	3	3.00155
6.32	3	3.0015
6.33	2	2.0015
6.34	1	1.00082
6.35	0	0
6.36	3	3.00216
6.37	2	2.00127
6.38	1	1.0004
6.39	2	2.00118
6.4	3	3.0015
6.41	3	3.00187
6.42	2	2.00084
6.43	0	0
6.44	3	3.00192
6.45	4	4.002
6.46	1	1.00074
6.47	1	1.00067
6.48	0	0
6.49	0	0
6.5	4	4.0025
6.51	1	1.00043
6.52	3	3.00179
6.53	3	3.00207
6.54	3	3.00201
6.55	1	1.00043
6.56	6	6.00374
6.57	0	0
6.58	0	0
6.59	1	1.00083
6.6	3	3.00147
6.61	2	2.00129
6.62	4	4.00251
6.63	1	1.00065
6.64	6	6.00306
6.65	3	3.00211
